Outcome,Date
Adoption,2015-02
Adoption,2015-06
Adoption,2015-06
Adoption,2015-05
Adoption,2015-02
Transfer,2015-02
Return to Owner,2015-02
Adoption,2015-02
Euthanasia,2015-02
Euthanasia,2015-04
Adoption,2015-02
Adoption,2015-02
Adoption,2015-12
Adoption,2015-02
Euthanasia,2015-02
Adoption,2015-05
Adoption,2015-04
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-05
Adoption,2015-02
Adoption,2015-02
Transfer,2015-03
Transfer,2015-02
Return to Owner,2015-03
Adoption,2015-02
Adoption,2015-05
Adoption,2015-02
Euthanasia,2015-04
Euthanasia,2015-03
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-02
Return to Owner,2015-02
Transfer,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-04
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-05
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Adoption,2015-06
Adoption,2015-02
Adoption,2015-04
Adoption,2015-03
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-02
Return to Owner,2017-03
Return to Owner,2016-05
Return to Owner,2015-10
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-03
Adoption,2015-02
Transfer,2015-02
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-12
Return to Owner,2015-09
Adoption,2015-02
Transfer,2015-02
Return to Owner,2015-02
Transfer,2015-02
Euthanasia,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-06
Adoption,2015-04
Adoption,2015-08
Adoption,2015-04
Adoption,2015-03
Transfer,2015-07
Return to Owner,2015-02
Transfer,2015-07
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Return to Owner,2016-07
Return to Owner,2015-02
Return to Owner,2015-07
Return to Owner,2015-02
Euthanasia,2016-08
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Euthanasia,2015-02
Transfer,2016-03
Adoption,2017-06
Transfer,2015-02
Adoption,2015-03
Transfer,2015-02
Adoption,2015-02
Adoption,2017-03
Adoption,2015-03
Adoption,2015-04
Return to Owner,2015-07
Transfer,2015-03
Adoption,2015-02
Transfer,2015-02
Adoption,2015-02
Return to Owner,2016-05
Adoption,2015-08
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2015-10
Return to Owner,2015-03
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-05
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Euthanasia,2015-02
Transfer,2015-02
Transfer,2015-02
Return to Owner,2015-02
Euthanasia,2015-02
Adoption,2015-11
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-07
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-06
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Euthanasia,2015-02
Transfer,2015-02
Adoption,2015-10
Adoption,2015-02
Euthanasia,2015-02
Transfer,2015-02
Euthanasia,2015-02
Adoption,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Adoption,2015-06
Adoption,2015-02
Euthanasia,2015-10
Adoption,2015-05
Adoption,2015-02
Transfer,2015-10
Adoption,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Return to Owner,2016-03
Transfer,2015-03
Adoption,2015-02
Return to Owner,2015-03
Transfer,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-06
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-08
Return to Owner,2015-02
Transfer,2017-02
Adoption,2016-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Euthanasia,2015-02
Adoption,2015-03
Adoption,2016-01
Adoption,2015-04
Adoption,2015-03
Return to Owner,2015-02
Euthanasia,2015-02
Adoption,2015-02
Adoption,2015-03
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-02
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-03
Adoption,2015-02
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-05
Euthanasia,2015-02
Adoption,2015-03
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2016-10
Adoption,2015-02
Return to Owner,2015-02
Transfer,2015-03
Adoption,2015-02
Return to Owner,2016-03
Adoption,2015-02
Return to Owner,2017-07
Return to Owner,2016-12
Return to Owner,2016-03
Adoption,2015-03
Adoption,2015-05
Adoption,2015-02
Adoption,2015-04
Died,2015-06
Adoption,2015-03
Adoption,2016-02
Transfer,2015-03
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-03
Transfer,2015-02
Adoption,2016-11
Adoption,2015-02
Transfer,2015-02
Return to Owner,2015-02
Euthanasia,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-12
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-07
Adoption,2015-02
Transfer,2015-02
Euthanasia,2015-02
Adoption,2015-03
Adoption,2015-02
Transfer,2015-02
Adoption,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Transfer,2015-02
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2017-06
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-07
Adoption,2015-04
Adoption,2015-04
Transfer,2015-05
Adoption,2015-05
Adoption,2015-04
Adoption,2015-03
Adoption,2015-02
Adoption,2015-12
Euthanasia,2016-03
Return to Owner,2015-02
Adoption,2015-11
Transfer,2015-04
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Transfer,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Euthanasia,2015-03
Return to Owner,2015-02
Return to Owner,2015-03
Return to Owner,2015-02
Adoption,2015-07
Adoption,2015-05
Adoption,2015-02
Transfer,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-09
Adoption,2015-09
Adoption,2015-12
Transfer,2015-02
Adoption,2015-02
Adoption,2015-12
Adoption,2015-03
Adoption,2015-03
Transfer,2015-04
Euthanasia,2015-02
Adoption,2015-12
Adoption,2015-02
Adoption,2015-05
Adoption,2015-05
Adoption,2015-02
Adoption,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Transfer,2015-02
Return to Owner,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-05
Transfer,2015-03
Euthanasia,2015-02
Transfer,2015-02
Adoption,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Transfer,2015-03
Return to Owner,2017-07
Return to Owner,2015-02
Euthanasia,2015-02
Adoption,2015-03
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-04
Adoption,2015-02
Adoption,2015-02
Adoption,2017-01
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2015-02
Adoption,2015-04
Transfer,2015-02
Return to Owner,2015-02
Transfer,2015-06
Return to Owner,2015-03
Adoption,2015-02
Transfer,2016-04
Adoption,2015-02
Transfer,2015-02
Adoption,2015-04
Adoption,2015-02
Euthanasia,2015-02
Adoption,2015-02
Transfer,2015-02
Euthanasia,2015-08
Transfer,2015-02
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-06
Adoption,2015-02
Adoption,2015-02
Adoption,2015-03
Adoption,2016-01
Transfer,2015-02
Adoption,2015-02
Return to Owner,2015-03
Transfer,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Transfer,2015-03
Transfer,2015-02
Transfer,2015-02
Euthanasia,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-05
Return to Owner,2015-03
Euthanasia,2015-02
Adoption,2015-03
Adoption,2015-02
Adoption,2015-02
Transfer,2015-02
Adoption,2016-06
Transfer,2015-04
Adoption,2015-02
Adoption,2015-03
Adoption,2015-02
Adoption,2015-04
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-02
Euthanasia,2015-02
Adoption,2015-02
Transfer,2015-02
Return to Owner,2015-02
Adoption,2015-04
Transfer,2015-02
Transfer,2015-08
Euthanasia,2015-05
Adoption,2015-05
Transfer,2015-02
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Transfer,2015-02
Transfer,2015-02
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-05
Euthanasia,2016-09
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Transfer,2015-02
Adoption,2015-05
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-04
Adoption,2015-04
Transfer,2015-02
Adoption,2015-09
Adoption,2015-09
Adoption,2015-03
Transfer,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-04
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Return to Owner,2015-02
Euthanasia,2015-02
Adoption,2015-02
Transfer,2018-03
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-03
Return to Owner,2015-02
Euthanasia,2015-02
Adoption,2015-06
Transfer,2015-04
Return to Owner,2015-02
Adoption,2015-04
Euthanasia,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2016-11
Return to Owner,2015-02
Died,2016-07
Return to Owner,2015-02
Transfer,2015-02
Adoption,2015-02
Adoption,2016-03
Adoption,2016-02
Adoption,2015-03
Adoption,2015-12
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Transfer,2015-02
Adoption,2015-10
Transfer,2015-10
Euthanasia,2015-02
Adoption,2018-01
Transfer,2015-02
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-02
Adoption,2015-05
Adoption,2015-03
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-04
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-02
Euthanasia,2015-02
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Transfer,2015-02
Transfer,2015-03
Adoption,2015-02
Adoption,2015-02
Adoption,2015-04
Adoption,2015-03
Adoption,2015-02
Return to Owner,2017-07
Return to Owner,2016-10
Return to Owner,2015-03
Euthanasia,2015-02
Adoption,2015-02
Adoption,2015-03
Return to Owner,2015-03
Return to Owner,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-03
Return to Owner,2015-03
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-06
Euthanasia,2015-02
Transfer,2015-02
Adoption,2015-04
Transfer,2017-08
Adoption,2015-02
Return to Owner,2015-02
Adoption,2015-03
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-03
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Transfer,2015-03
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-02
Adoption,2015-02
Adoption,2015-02
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Return to Owner,2018-03
Adoption,2015-02
Adoption,2015-03
Adoption,2015-02
Euthanasia,2015-02
Adoption,2015-02
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-02
Transfer,2015-02
Adoption,2015-02
Euthanasia,2015-02
Transfer,2015-02
Adoption,2015-03
Adoption,2015-03
Transfer,2015-02
Adoption,2015-02
Return to Owner,2015-03
Transfer,2015-02
Euthanasia,2015-02
Adoption,2015-09
Adoption,2015-03
Adoption,2015-02
Return to Owner,2017-04
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Euthanasia,2015-02
Return to Owner,2015-02
Adoption,2015-06
Adoption,2015-05
Adoption,2015-02
Adoption,2015-03
Transfer,2015-04
Adoption,2015-02
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Return to Owner,2015-02
Return to Owner,2015-02
Adoption,2015-02
Euthanasia,2015-05
Euthanasia,2015-03
Return to Owner,2017-07
Adoption,2015-03
Transfer,2015-02
Euthanasia,2015-02
Adoption,2015-03
Return to Owner,2016-08
Return to Owner,2015-02
Transfer,2015-02
Return to Owner,2015-06
Return to Owner,2015-02
Transfer,2015-02
Transfer,2015-03
Return to Owner,2015-02
Adoption,2015-06
Adoption,2015-03
Adoption,2015-02
Euthanasia,2015-03
Adoption,2015-03
Died,2015-03
Return to Owner,2015-11
Adoption,2015-03
Return to Owner,2016-08
Return to Owner,2016-01
Transfer,2015-03
Euthanasia,2015-03
Adoption,2015-05
Euthanasia,2015-03
Adoption,2017-01
Adoption,2015-11
Adoption,2015-03
Adoption,2015-04
Transfer,2015-03
Transfer,2015-03
Adoption,2015-04
Return to Owner,2015-02
Adoption,2015-03
Transfer,2015-03
Adoption,2015-03
Euthanasia,2015-02
Euthanasia,2016-08
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-07
Adoption,2015-03
Adoption,2015-03
Adoption,2017-07
Adoption,2015-03
Transfer,2015-02
Euthanasia,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-03
Adoption,2015-03
Return to Owner,2015-08
Transfer,2015-03
Transfer,2015-03
Adoption,2015-02
Adoption,2015-02
Return to Owner,2015-03
Adoption,2015-03
Euthanasia,2015-02
Adoption,2015-03
Adoption,2015-08
Return to Owner,2015-06
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-03
Return to Owner,2015-02
Adoption,2015-03
Transfer,2015-03
Return to Owner,2015-02
Return to Owner,2015-02
Transfer,2015-03
Return to Owner,2015-02
Adoption,2015-06
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-04
Return to Owner,2018-01
Return to Owner,2017-12
Return to Owner,2017-12
Return to Owner,2015-07
Return to Owner,2015-05
Transfer,2017-06
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-02
Adoption,2015-03
Adoption,2015-05
Transfer,2015-03
Transfer,2015-02
Transfer,2015-03
Transfer,2015-02
Transfer,2015-02
Adoption,2015-03
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Transfer,2015-02
Euthanasia,2015-08
Adoption,2015-03
Transfer,2015-03
Adoption,2015-03
Return to Owner,2015-03
Transfer,2015-04
Euthanasia,2015-02
Adoption,2015-03
Transfer,2015-03
Return to Owner,2015-03
Adoption,2015-03
Return to Owner,2015-02
Transfer,2015-03
Return to Owner,2015-11
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-02
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-02
Adoption,2015-03
Adoption,2017-08
Adoption,2015-03
Adoption,2017-08
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-02
Transfer,2015-02
Adoption,2015-03
Return to Owner,2015-05
Return to Owner,2015-02
Adoption,2015-03
Transfer,2015-11
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Died,2015-02
Adoption,2015-03
Transfer,2015-05
Adoption,2015-03
Transfer,2015-11
Adoption,2015-10
Transfer,2015-03
Return to Owner,2017-04
Adoption,2015-04
Adoption,2015-03
Return to Owner,2015-03
Return to Owner,2015-02
Return to Owner,2015-03
Return to Owner,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-06
Adoption,2015-03
Return to Owner,2015-04
Adoption,2015-04
Transfer,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-05
Adoption,2015-04
Rto-Adopt,2017-11
Adoption,2015-04
Adoption,2015-04
Return to Owner,2015-02
Return to Owner,2015-02
Euthanasia,2016-05
Return to Owner,2015-08
Transfer,2015-05
Adoption,2015-04
Adoption,2015-05
Return to Owner,2015-03
Euthanasia,2015-03
Transfer,2015-03
Return to Owner,2015-03
Euthanasia,2015-03
Transfer,2015-03
Adoption,2015-05
Adoption,2015-03
Adoption,2015-03
Euthanasia,2015-03
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-03
Transfer,2015-03
Return to Owner,2015-03
Adoption,2015-03
Return to Owner,2015-03
Euthanasia,2015-03
Transfer,2015-03
Transfer,2015-04
Return to Owner,2015-03
Return to Owner,2015-03
Return to Owner,2015-05
Transfer,2015-03
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Transfer,2017-07
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Adoption,2015-03
Adoption,2015-09
Adoption,2015-06
Adoption,2015-03
Adoption,2015-03
Adoption,2015-09
Adoption,2015-06
Adoption,2015-06
Adoption,2015-03
Euthanasia,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Adoption,2015-03
Transfer,2015-03
Adoption,2017-03
Adoption,2015-05
Return to Owner,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Transfer,2015-03
Adoption,2015-05
Return to Owner,2015-05
Return to Owner,2016-02
Adoption,2015-03
Transfer,2015-03
Return to Owner,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Euthanasia,2015-03
Transfer,2015-03
Adoption,2015-04
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Euthanasia,2015-05
Return to Owner,2017-04
Transfer,2015-11
Return to Owner,2015-06
Return to Owner,2015-06
Transfer,2015-03
Return to Owner,2015-03
Transfer,2015-03
Return to Owner,2015-03
Transfer,2016-04
Adoption,2016-03
Transfer,2015-03
Euthanasia,2015-03
Transfer,2015-03
Adoption,2015-03
Return to Owner,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-05
Adoption,2015-04
Adoption,2015-04
Adoption,2015-04
Adoption,2015-04
Euthanasia,2015-03
Transfer,2015-03
Return to Owner,2016-11
Return to Owner,2015-03
Return to Owner,2015-03
Adoption,2015-03
Adoption,2015-05
Adoption,2015-03
Adoption,2015-05
Return to Owner,2018-02
Return to Owner,2015-03
Adoption,2015-03
Transfer,2015-03
Adoption,2015-03
Adoption,2015-10
Adoption,2015-03
Adoption,2015-09
Return to Owner,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-03
Transfer,2015-04
Adoption,2015-04
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Adoption,2015-03
Return to Owner,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2016-03
Adoption,2016-01
Return to Owner,2015-05
Return to Owner,2015-03
Return to Owner,2015-05
Return to Owner,2015-03
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-05
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Return to Owner,2015-03
Transfer,2015-03
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Return to Owner,2015-09
Adoption,2015-03
Return to Owner,2016-05
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Adoption,2015-08
Adoption,2015-07
Euthanasia,2015-03
Adoption,2015-04
Adoption,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-07
Adoption,2015-03
Adoption,2015-03
Transfer,2015-07
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-12
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Transfer,2015-04
Adoption,2015-03
Euthanasia,2015-03
Transfer,2015-04
Euthanasia,2015-03
Adoption,2015-04
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Euthanasia,2015-03
Adoption,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Died,2015-03
Died,2015-03
Adoption,2015-06
Died,2015-03
Died,2015-03
Died,2015-03
Died,2015-03
Died,2015-03
Died,2015-03
Died,2015-03
Died,2015-03
Died,2015-03
Adoption,2015-03
Died,2015-03
Died,2015-03
Euthanasia,2015-03
Transfer,2015-05
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Adoption,2015-03
Return to Owner,2015-03
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Adoption,2015-05
Return to Owner,2015-03
Adoption,2015-03
Euthanasia,2015-03
Adoption,2015-05
Return to Owner,2015-03
Adoption,2015-03
Return to Owner,2016-04
Return to Owner,2015-03
Adoption,2015-03
Transfer,2015-03
Adoption,2015-10
Adoption,2015-03
Adoption,2015-04
Adoption,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Return to Owner,2017-11
Adoption,2016-01
Adoption,2015-03
Adoption,2015-05
Euthanasia,2015-03
Adoption,2015-03
Return to Owner,2015-11
Return to Owner,2015-10
Adoption,2015-03
Euthanasia,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Transfer,2015-03
Return to Owner,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-07
Adoption,2015-05
Return to Owner,2015-03
Return to Owner,2016-05
Transfer,2015-03
Return to Owner,2015-03
Adoption,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Adoption,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Transfer,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Return to Owner,2015-03
Adoption,2015-03
Adoption,2016-06
Adoption,2015-03
Adoption,2015-03
Adoption,2015-03
Return to Owner,2015-03
Euthanasia,2015-03
Transfer,2015-04
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-03
Adoption,2015-03
Adoption,2016-12
Transfer,2015-05
Euthanasia,2015-03
Adoption,2015-05
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Adoption,2015-04
Transfer,2015-03
Adoption,2015-07
Euthanasia,2015-03
Adoption,2015-03
Adoption,2016-01
Transfer,2015-03
Return to Owner,2015-03
Transfer,2015-08
Return to Owner,2015-06
Adoption,2015-03
Return to Owner,2015-05
Adoption,2015-03
Disposal,2017-01
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Adoption,2015-10
Euthanasia,2015-03
Euthanasia,2015-03
Adoption,2015-03
Return to Owner,2015-03
Adoption,2016-03
Adoption,2015-05
Adoption,2016-03
Transfer,2015-03
Transfer,2015-03
Return to Owner,2015-03
Euthanasia,2015-03
Return to Owner,2015-09
Return to Owner,2015-03
Return to Owner,2015-09
Return to Owner,2015-03
Euthanasia,2015-03
Adoption,2016-09
Transfer,2015-03
Euthanasia,2015-03
Adoption,2016-05
Adoption,2016-04
Adoption,2015-09
Adoption,2015-06
Adoption,2015-04
Adoption,2015-03
Return to Owner,2015-03
Transfer,2015-03
Euthanasia,2015-03
Adoption,2015-03
Adoption,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Return to Owner,2015-03
Adoption,2015-03
Transfer,2015-03
Adoption,2015-03
Adoption,2015-04
Return to Owner,2015-03
Return to Owner,2015-03
Transfer,2015-05
Return to Owner,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Adoption,2015-03
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-04
Adoption,2015-03
Return to Owner,2015-03
Adoption,2015-03
Adoption,2015-04
Transfer,2017-08
Adoption,2015-03
Transfer,2015-03
Return to Owner,2015-03
Transfer,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Adoption,2015-08
Return to Owner,2015-03
Adoption,2015-04
Adoption,2015-03
Transfer,2017-05
Return to Owner,2015-03
Euthanasia,2015-03
Transfer,2015-03
Euthanasia,2015-03
Euthanasia,2015-03
Adoption,2015-03
Adoption,2015-06
Adoption,2015-03
Adoption,2015-03
Adoption,2015-04
Adoption,2015-04
Adoption,2015-04
Return to Owner,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
Transfer,2015-03
